CURRENT_ALLOCATION,FISCAL_PERIOD_NAME,FUND_CATEGORY,FUND_NAME,LEDGER_NAME,PARENT_FUND
731.63,GW 2015/2016,Allocated,10330158611EngxSTLAppv,gwgel2016103301 Collections,10330158611Approvals/DDA
3866.46,GW 2015/2016,Allocated,10320458611GSHED,gwgel2016103204 General Endowment,10320458611GSHED
22484.31,GW 2015/2016,Allocated,10320458611CPS,gwgel2016103204 General Endowment,10320458611CPS
13360.56,GW 2015/2016,Allocated,10321158611ArteMonoEbling,gwgel2016103211 Ebling Endowment,R10321158611
0,GW 2015/2016,Allocated,10321158611ArteSubsEbling,gwgel2016103211 Ebling Endowment,R10321158611
627,GW 2015/2016,Allocated,10321058611SpecColl,gwgel2016103210 Mason Endowment,10321058611SpecColl
48.18,GW 2015/2016,Allocated,10321058611SlavLang,gwgel2016103210 Mason Endowment,10321058611SlavicLang
0,GW 2015/2016,Allocated,10321058611EastAsianLang,gwgel2016103210 Mason Endowment,10321058611EastAsianLang
1607.32,GW 2015/2016,Allocated,10321058611SocSci 1,gwgel2016103210 Mason Endowment,10321058611SocScience
0,GW 2015/2016,Allocated,EMBA,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,HRD/HEAP,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,MIS,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Reference,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Staff,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Transportation,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Civil,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Electrical,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,EMGT,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,TCOM,gwnvc2016,Gifts
0,GW 2015/2016,Allocated,Mechanical,gwnvc2016,Gifts
216.65,GW 2015/2016,Allocated,10330158611Postage,gwnvc2016,10330158611Postage
9,GW 2015/2016,Allocated,10330158611Transsuballoc,gwnvc2016,10330158611SEAS
30.48,GW 2015/2016,Allocated,10330158611Transportfirm,gwnvc2016,10330158611SEAS
-6958.05,GW 2015/2016,Allocated,10330152232Electronicsub,gwnvc2016,10330152232Electronicsub
183.85,GW 2015/2016,Allocated,10330158611HEAPfirm,gwnvc2016,10330158611General
146.15,GW 2015/2016,Allocated,10330158611Genlfirm,gwnvc2016,10330158611General
1103,GW 2015/2016,Allocated,10330158611HEAPsuballoc,gwnvc2016,10330158611General
-459.58,GW 2015/2016,Allocated,10330158611Genlsuballoc,gwnvc2016,10330158611General
